resistência termistor	deformação
Ohm	
Teflon	Teflon
705.595563	0.00581
706.954595	0.005828
708.299533	0.005845
709.718828	0.005862
710.98921	0.005882
712.324809	0.005903
713.746264	0.005922
714.994353	0.005939
716.261733	0.005958
717.511221	0.00598
718.974268	0.005999
720.276412	0.00602
721.513904	0.006039
722.692443	0.006064
724.292192	0.00609
726.158233	0.006109
727.685978	0.006124
728.931764	0.006141
730.219299	0.006159
731.505632	0.006183
733.017814	0.006202
734.269208	0.006221
735.613783	0.006239
736.713148	0.006257
737.90418	0.006275
739.136849	0.006297
740.4554	0.006324
741.987102	0.006343
743.589697	0.006374
745.538649	0.006393
747.05329	0.006406
748.477297	0.006425
749.820315	0.006443
751.179937	0.006461
752.399015	0.006478
753.435811	0.006498
754.534133	0.006516
755.542666	0.006537
756.668517	0.006558
758.043163	0.006577
759.227553	0.006603
760.90748	0.00662
762.143418	0.006639
763.325326	0.00666
764.516897	0.006675
765.566349	0.006693
766.580665	0.006712
767.546351	0.00673
768.539917	0.006747
769.553512	0.006767
770.594923	0.006786
771.67295	0.006803
772.697714	0.00682
773.671018	0.00684
774.916794	0.006867
776.419022	0.006886
777.858817	0.006902
779.088464	0.006925
780.720639	0.006963
783.334965	0.006979
785.217532	0.006991
786.512771	0.007005
787.57483	0.007018
788.509572	0.007035
789.538462	0.007054
790.598604	0.007069
791.548275	0.007086
792.492204	0.007105
793.446829	0.007123
794.57797	0.007146
795.952051	0.007164
797.074323	0.007181
798.1559	0.007197
799.309868	0.007218
800.583474	0.007234
801.724411	0.007249
802.714977	0.007266
803.732479	0.007282
804.684504	0.007297
805.57624	0.007314
806.468338	0.007332
807.421337	0.007348
808.359166	0.007362
809.238157	0.007379
810.135387	0.007396
811.107374	0.007414
812.250094	0.007431
813.319702	0.007451
814.507386	0.007468
815.598781	0.007482
816.635928	0.007499
817.730438	0.007516
818.897802	0.007532
819.976981	0.007549
821.066537	0.007566
822.240944	0.00758
823.246312	0.007597
824.328934	0.007612
825.36248	0.007627
826.400237	0.007641
827.296484	0.007655
828.130085	0.00767
828.938097	0.007687
829.910778	0.007707
831.041866	0.007719
832.003705	0.007734
833.025285	0.007749
833.981195	0.007764
834.984607	0.007779
835.950083	0.0078
837.502877	0.007833
839.41781	0.007848
840.804702	0.007854
841.756421	0.007866
842.723027	0.007876
843.436697	0.007888
844.168591	0.007904
845.054007	0.007918
845.95238	0.007934
846.803337	0.007949
848.16628	0.007963
849.133786	0.007976
850.000376	0.007992
851.032262	0.008006
852.06638	0.008019
852.940148	0.00803
853.677685	0.008042
854.420584	0.008056
855.12068	0.008068
855.882619	0.008082
856.696746	0.008096
857.456067	0.008109
858.196665	0.008123
859.082172	0.008137
860.085115	0.008149
860.846421	0.008161
861.642394	0.008174
862.319423	0.00819
863.316023	0.008202
864.069809	0.008222
865.487512	0.008248
866.735812	0.008253
867.627369	0.008267
868.633082	0.008279
869.541372	0.008291
870.564378	0.008302
871.512999	0.008315
872.421826	0.008324
873.146	0.008337
874.064928	0.008348
874.827314	0.008358
875.569762	0.008371
876.365133	0.008383
877.202668	0.008395
878.013107	0.008409
878.923152	0.00842
879.682306	0.008432
880.440652	0.008443
881.141522	0.008456
881.962157	0.008468
882.760722	0.008482
883.812679	0.008494
884.649336	0.008505
885.464034	0.008515
886.090698	0.008525
886.695816	0.008537
887.332246	0.00855
888.150893	0.008562
889.014581	0.008573
889.815087	0.008585
890.59771	0.008595
891.342807	0.008607
892.177898	0.008622
893.287699	0.00864
894.780506	0.008657
896.319725	0.008674
897.962136	0.008687
899.181025	0.008696
900.106123	0.008705
900.925907	0.008716
901.763975	0.008729
902.893854	0.008742
903.872931	0.008752
904.686239	0.008761
905.289331	0.00877
905.80452	0.008781
906.439957	0.008792
907.098194	0.008802
907.568107	0.008811
907.988123	0.008821
908.665425	0.008833
909.325112	0.008847
910.059549	0.008857
910.654589	0.008869
911.498651	0.008881
912.32233	0.008894
913.537158	0.008909
914.603484	0.008917
915.233306	0.008932
916.207503	0.008948
917.505155	0.008958
918.499851	0.008963
918.923846	0.008972
919.449598	0.008985
920.201292	0.008995
920.982582	0.009006
921.74907	0.009017
922.575042	0.009029
923.32837	0.009042
924.419951	0.009054
925.505203	0.009067
926.636213	0.009076
927.420836	0.009083
928.018194	0.009094
928.764152	0.009103
929.290752	0.009112
929.857711	0.009122
930.540644	0.009134
931.234488	0.009144
931.905415	0.009154
932.636613	0.009164
933.337443	0.009174
934.131422	0.009185
934.73013	0.009193
935.140471	0.009201
935.54007	0.00921
936.033466	0.009221
936.739887	0.009232
937.559344	0.009244
938.416205	0.009255
939.152762	0.009265
939.845385	0.00928
940.71192	0.00929
941.329541	0.009297
941.767834	0.009305
942.214226	0.009314
942.672599	0.009322
943.044363	0.00933
943.434206	0.00934
943.982252	0.00935
944.54496	0.00936
945.295938	0.009376
946.528807	0.009388
947.595107	0.0094
948.448721	0.009413
949.412461	0.009419
949.950911	0.009428
950.483653	0.009435
950.901616	0.009442
951.448227	0.009449
951.827469	0.009456
952.189614	0.009466
953.003179	0.009479
953.999803	0.009488
954.650948	0.009496
955.219805	0.009506
955.729269	0.009513
956.149761	0.009521
956.592679	0.009529
